id	mode_of_inheritance	Gene	confidence_level	name	disease_group	disease_sub_group	status
1	AD	COL9A3	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	NA	EMILIN1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	FKBP14	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	FOXE3	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	HNRNPK	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	NA	KCNN1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	LTBP2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	NA	MAT2A	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	XL	MED12	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	MFAP5	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	NA	MYLK2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	PKD1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	PKD2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	SLC39A13	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	NA	SMAD6	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	TNXB	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	ZNF469	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
3	AD	BMP4	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AD/AR	COL11A1	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AD/AR	COL11A2	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AD	COL2A1	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AR	COL9A1	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AR	COL9A2	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AR	COL9A3	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AR	GZF1	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AD	VCAN	3	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AR	LOXL3	2	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
3	AD	LRP2	1	Stickler syndrome	Skeletal disorders	Skeletal dysplasias	public
5	AD	MNX1	3	Currarino triad			public
5	AD	FUZ	1	Currarino triad			public
5	NA	GDF11	1	Currarino triad			public
5	AD	GDF6	1	Currarino triad			public
5	AR	PAM16	1	Currarino triad			public
5	NA	PCSK5	1	Currarino triad			public
5	AD	SHH	1	Currarino triad			public
5	AR	T	1	Currarino triad			public
5	AD	VANGL1	1	Currarino triad			public
5	AD	VANGL2	1	Currarino triad			public
5	XL	ZIC3	1	Currarino triad			public
6	AR	ABCG5	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AR	ABCG8	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD	APOB	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD/AR	APOE	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AR	CYP27A1	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD	LDLR	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AR	LDLRAP1	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AR	LIPA	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD	PCSK9	3	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ABCA1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ACE	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ANGPTL3	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	APOA1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	APOA2	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD	APOA5	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AR	APOC2	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	APOC3	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	CELSR2	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	CETP	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	EPHX2	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ESR1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	F13A1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	F7	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	GCLC	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	GCLM	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	GHR	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	GPD1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	GPIHBP1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	HFE	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ITGB3	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	LCAT	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	LIPC	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	LMF1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	LPL	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	MTTP	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	MYLIP	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	NYNRIN	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	SAR1B	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	SCARB1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	SLC22A1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	SREBF2	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	NA	ST3GAL4	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
6	AD	STAP1	1	Familial hypercholesterolaemia	Cardiovascular disorders	Arteriopathies	public
7	AR	AAAS	3	Familial dysautonomia			public
7	AR	ELP1	3	Familial dysautonomia			public
7	AR	GMPPA	3	Familial dysautonomia			public
7	AD/AR	KIF1A	3	Familial dysautonomia			public
7	AR	NGF	3	Familial dysautonomia			public
7	AR	NTRK1	3	Familial dysautonomia			public
7	AD	PHOX2B	3	Familial dysautonomia			public
7	AR	PRDM12	3	Familial dysautonomia			public
7	AR	RETREG1	3	Familial dysautonomia			public
7	AD	SCN11A	3	Familial dysautonomia			public
7	AR	SCN9A	3	Familial dysautonomia			public
7	AD	SPTLC1	3	Familial dysautonomia			public
7	AD	SPTLC2	3	Familial dysautonomia			public
7	AR	WNK1	3	Familial dysautonomia			public
7	AD	PRNP	2	Familial dysautonomia			public
7	AD	TTR	2	Familial dysautonomia			public
7	AD	ATL1	1	Familial dysautonomia			public
7	AD	ATL3	1	Familial dysautonomia			public
7	AD/AR	COQ2	1	Familial dysautonomia			public
7	AD	DNMT1	1	Familial dysautonomia			public
7	AR	DST	1	Familial dysautonomia			public
7	AR	MYO1H	1	Familial dysautonomia			public
7	AR	TECPR2	1	Familial dysautonomia			public
8	AD	BDNF	1	Refuted genes			public
8	AR	FANCM	1	Refuted genes			public
8	AD	LIPI	1	Refuted genes			public
8	AR	RAD51C	1	Refuted genes			public
8	AD	TMPO	1	Refuted genes			public
9	AR	AMH	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	AMHR2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	AR	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	ARX	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	ATRX	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	CDKN1C	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	CHD7	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CTU2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	CUL4B	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CYB5A	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	CYP11A1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CYP11B1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CYP17A1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CYP19A1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CYP21A2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	DHCR7	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	DHH	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	DHX37	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	GATA4	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	HOXA13	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	HSD17B3	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	HSD3B2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	LHCGR	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	MAMLD1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	MAP3K1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	MYRF	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	NR0B1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	NR2F2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	NR3C1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	NR5A1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	POR	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	PPP1R12A	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	XL	RPL10	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	RSPO1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	SAMD9	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	SGPL1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	SOX10	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	SOX9	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	SRD5A2	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	NA	SRY	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	STAR	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	TOE1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	TSPYL1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	WT1	3	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	ESR2	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	FGFR2	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	HHAT	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	PAX8	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	PBX1	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	PRDM13	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	TCF12	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	ZFPM2	2	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	AKR1C2	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	ATP6V0A4	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	CBX2	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	NA	DGKQ	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	NA	DMRT1	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	ERAL1	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	GLI2	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	NA	HSD17B2	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	INPP5E	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	MCM5	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	PAX6	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD	SEMA3E	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	TAF4B	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AD/AR	TWIST2	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
9	AR	WNT2B	1	Differences in sex development	Endocrine disorders	Gonadal and sex development disorders	public
11	AR	B9D1	1	Familial Neural Tube Defects			public
11	AR	B9D2	1	Familial Neural Tube Defects			public
11	AR	CC2D2A	1	Familial Neural Tube Defects			public
11	NA	CCL2	1	Familial Neural Tube Defects			public
11	AD	CDON	1	Familial Neural Tube Defects			public
11	AR	CEP290	1	Familial Neural Tube Defects			public
11	AR	DLL3	1	Familial Neural Tube Defects			public
11	AD	FOXH1	1	Familial Neural Tube Defects			public
11	NA	FUZ	1	Familial Neural Tube Defects			public
11	AD	GATA3	1	Familial Neural Tube Defects			public
11	AD	GDF3	1	Familial Neural Tube Defects			public
11	AD	GDF6	1	Familial Neural Tube Defects			public
11	AD	GLI2	1	Familial Neural Tube Defects			public
11	AR	HES7	1	Familial Neural Tube Defects			public
11	NA	HYLS1	1	Familial Neural Tube Defects			public
11	AD	KCNJ10	1	Familial Neural Tube Defects			public
11	AR	KIF14	1	Familial Neural Tube Defects			public
11	AR	LFNG	1	Familial Neural Tube Defects			public
11	NA	MEOX1	1	Familial Neural Tube Defects			public
11	NA	MESP2	1	Familial Neural Tube Defects			public
11	AR	MKS1	1	Familial Neural Tube Defects			public
11	AR	MTHFD1	1	Familial Neural Tube Defects			public
11	AD	MTHFR	1	Familial Neural Tube Defects			public
11	AR	MTR	1	Familial Neural Tube Defects			public
11	AR	MTRR	1	Familial Neural Tube Defects			public
11	AD	NODAL	1	Familial Neural Tube Defects			public
11	AR	NPHP3	1	Familial Neural Tube Defects			public
11	NA	PIK3CA	1	Familial Neural Tube Defects			public
11	AD	PTCH1	1	Familial Neural Tube Defects			public
11	NA	PTK7	1	Familial Neural Tube Defects			public
11	AR	RPGRIP1L	1	Familial Neural Tube Defects			public
11	NA	SHROOM3	1	Familial Neural Tube Defects			public
11	AD	T	1	Familial Neural Tube Defects			public
11	NA	TBX6	1	Familial Neural Tube Defects			public
11	AR	TCTN2	1	Familial Neural Tube Defects			public
11	AD	TGIF1	1	Familial Neural Tube Defects			public
11	AR	TMEM216	1	Familial Neural Tube Defects			public
11	NA	TMEM231	1	Familial Neural Tube Defects			public
11	NA	TMEM5	1	Familial Neural Tube Defects			public
11	AR	TMEM67	1	Familial Neural Tube Defects			public
11	AD	VANGL1	1	Familial Neural Tube Defects			public
11	NA	VANGL2	1	Familial Neural Tube Defects			public
11	NA	ZIC2	1	Familial Neural Tube Defects			public
11	NA	HPE1	0	Familial Neural Tube Defects			public
13	AD	SCN5A	3	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	KCNH2	2	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	ABCC9	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	ANK2	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	CACNA1C	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	CACNA2D1	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	CACNB2	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	CAV3	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	DLG1	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	GPD1L	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	HCN4	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	KCND3	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	KCNE3	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	KCNE5	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	KCNJ8	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	PKP2	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	RANGRF	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	SCN10A	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	SCN1B	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	SCN2B	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	SCN3B	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	NA	SLMAP	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
13	AD	TRPM4	1	Brugada syndrome and cardiac sodium channel disease	Cardiovascular disorders	Cardiac arrhythmia	public
17	AD	BRCA2	3	Prostate cancer pertinent cancer susceptibility	Cancer Programme	Pertinent cancer susceptibility gene panel	public
17	AD	MLH1	3	Prostate cancer pertinent cancer susceptibility	Cancer Programme	Pertinent cancer susceptibility gene panel	public
17	AD	MSH2	3	Prostate cancer pertinent cancer susceptibility	Cancer Programme	Pertinent cancer susceptibility gene panel	public
17	AD	MSH6	3	Prostate cancer pertinent cancer susceptibility	Cancer Programme	Pertinent cancer susceptibility gene panel	public
17	AD	PMS2	3	Prostate cancer pertinent cancer susceptibility	Cancer Programme	Pertinent cancer susceptibility gene panel	public
18	AD/AR	AQP2	3	Monogenic nephrogenic diabetes insipidus			public
18	XL	AVPR2	3	Monogenic nephrogenic diabetes insipidus			public
18	AD	AVP	1	Monogenic nephrogenic diabetes insipidus			public
18	AR	SLC12A1	1	Monogenic nephrogenic diabetes insipidus			public
18	AR	WFS1	1	Monogenic nephrogenic diabetes insipidus			public
19	MT	MT-TK	3	Multiple lipomas			public
19	NA	EGFR	1	Multiple lipomas			public
19	NA	HMGA2	1	Multiple lipomas			public
19	NA	MDM2	1	Multiple lipomas			public
20	AR	AAAS	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	XL	ABCB7	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	AR	ABHD12	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	AD/AR	AFG3L2	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	AR	AMPD2	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	AR	ANO10	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
20	XL	AP1S2	3	Hereditary ataxia	Neurology and neurodevelopmental disorders	Motor Disorders of the CNS	public
